objectid,title,creator,illustrator,date,description,subject,location,latitude,longitude,publication,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
slipperease_001,Slipper Ease,Laura Goodman Salverson,C.R. Wilcox,03-1937,Short story,,,,,Canadian Magazine,,,,application/pdf,eng,,,pdf,/objects/SlipperEase.pdf,/objects/small/slipperease_sm.jpg,/objects/thumbs/slipperease_th.jpg,,
agidiasnewworldchristmas_001,Agidia's New World Christmas,L.G. Salverson,J.C. Clymer,12-1932,Short story,,,,,National Home Monthly,,,,application/pdf,eng,,,pdf,/objects/AgidiasNewWorldChristmas.pdf,/objects/small/agidiasnewworldchristmas_sm.jpg,/objects/thumbs/agidiasnewworldchristmas_th.jpg,,
hiddenfire_001,Hidden Fire,Laura Goodman Salverson,Bryant Fryer,02-1923,Short story,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/HiddenFire.pdf,/objects/small/hiddenfire_sm.jpg,/objects/thumbs/hiddenfire_th.jpg,,
incorrigibles_001,Incorrigibles,Laura Goodman Salverson,Jack Keay,09-1931,Short story,,,,,Chatelaine,,,,application/pdf,eng,,,pdf,/objects/Incorrigibles.pdf,/objects/small/incorrigibles_sm.jpg,/objects/thumbs/incorrigibles_th.jpg,,
simoncobbler_001,Simon the Cobbler,Laura Goodman Salverson,,09-1925,Short story,,,,,British Columbia Monthly,,,,application/pdf,eng,,,pdf,/objects/SimontheCobbler.pdf,/objects/small/simonthecobbler_sm.jpg,/objects/thumbs/simonthecobbler_th.jpg,,
alabasterbox_001,The Alabaster Box,Laura Goodman Salverson,E.J. Dinsmore,12-1927,Short story,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/AlabasterBox.pdf,/objects/small/alabasterbox_sm.jpg,/objects/thumbs/alabasterbox_th.jpg,,
whenblindguideslead_001,When Blind Guides Lead,Laura Goodman Salverson,Roy Fisher,02-1925,Short story,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/WhenBlindGuidesLead.pdf,/objects/small/whenblindguideslead_sm.jpg,/objects/thumbs/whenblindguideslead_th.jpg,,
premonition_001,Premonition,Laura Goodman Salverson,,11-1932,Poem,,,,,Chatelaine,,,,application/pdf,eng,,,pdf,/objects/Premonition.pdf,/objects/small/premonition_sm.jpg,/objects/thumbs/premonition_th.jpg,,
windsway_001,The Wind's Way,Laura Goodman Salverson,,06-1930,Short story,,,,,Chatelaine,,,,application/pdf,eng,,,pdf,/objects/WindsWay.pdf,/objects/small/windsway_sm.jpg,/objects/thumbs/windsway_th.jpg,,
witcheryofyule_001,The Witchery of Yule,Laura Goodman Salverson,Christine L. Chisholm,12-1929,Short story,,,,,Chatelaine,,,,application/pdf,eng,,,pdf,/objects/WitcheryofYule.pdf,/objects/small/witcheryofyule_sm.jpg,/objects/thumbs/witcheryofyule_th.jpg,,
