objectid,title,creator,illustrator,date,genre,description,subject,location,latitude,longitude,publisher,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
slipperease1,Slipper Ease,Laura Goodman Salverson,C.R. Wilcox,1937-03,Short story,,,,,,Canadian Magazine,,,,application/pdf,eng,,,pdf,/objects/SlipperEase.pdf,/objects/small/slipperease_sm.jpg,/objects/thumbs/slipperease_th.jpg,,
agidiasnewworldchristmas1,Agidia's New World Christmas,L.G. Salverson,J.C. Clymer,1932-12,Short story,,,,,,National Home Monthly,,,,application/pdf,eng,,,pdf,/objects/AgidiasNewWorldChristmas.pdf,/objects/small/agidiasnewworldchristmas_sm.jpg,/objects/thumbs/agidiasnewworldchristmas_th.jpg,,
hiddenfire1,Hidden Fire,Laura Goodman Salverson,Bryant Fryer,1923-02,Short story,,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/HiddenFire.pdf,/objects/small/hiddenfire_sm.jpg,/objects/thumbs/hiddenfire_th.jpg,,
incorrigibles1,The Incorrigibles,Laura Goodman Salverson,Jack Keay,1931-09,Short story,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/Incorrigibles.pdf,/objects/small/incorrigibles_sm.jpg,/objects/thumbs/incorrigibles_th.jpg,,
simoncobbler1,Simon the Cobbler,Laura Goodman Salverson,,1925-09,Short story,,,,,,British Columbia Monthly,,,,application/pdf,eng,,,pdf,/objects/SimontheCobbler.pdf,/objects/small/simonthecobbler_sm.jpg,/objects/thumbs/simonthecobbler_th.jpg,,
alabasterbox1,The Alabaster Box,Laura Goodman Salverson,E.J. Dinsmore,1927-12,Short story,,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/AlabasterBox.pdf,/objects/small/alabasterbox_sm.jpg,/objects/thumbs/alabasterbox_th.jpg,,
whenblindguideslead1,When Blind Guides Lead,Laura Goodman Salverson,Roy Fisher,1925-02,Short story,,,,,,Maclean's,,,,application/pdf,eng,,,pdf,/objects/WhenBlindGuidesLead.pdf,/objects/small/whenblindguideslead_sm.jpg,/objects/thumbs/whenblindguideslead_th.jpg,,
premonition1,Premonition,Laura Goodman Salverson,,1932-11,Poem,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/Premonition.pdf,/objects/small/premonition_sm.jpg,/objects/thumbs/premonition_th.jpg,,
windsway1,The Wind's Way,Laura Goodman Salverson,Douglas Brown,1930-06,Short story,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/WindsWay.pdf,/objects/small/windsway_sm.jpg,/objects/thumbs/windsway_th.jpg,,
witcheryofyule1,The Witchery of Yule,Laura Goodman Salverson,Christine L. Chisholm,1929-12,Short story,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/WitcheryofYule.pdf,/objects/small/witcheryofyule_sm.jpg,/objects/thumbs/witcheryofyule_th.jpg,,
littlesouls1,Little Souls (Part 1),Laura Goodman Salverson,Orison MacPherson,1928-10,Serial short story,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/LittleSouls_Part1.pdf,,,,
littlesouls2,Little Souls (Part 2),Laura Goodman Salverson,Orison MacPherson,1928-10,Serial short story,,,,,,The Chatelaine,,,,application/pdf,eng,,,pdf,/objects/LittleSouls_Part2.pdf,,,,
